,Route,total_distance_x,left_time,work_time,to_dp_time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
0,Route0,140.42276443970906,66.17174732648104,413.82825267351893,59.52842213520532,DP,안산-1431,안산-1627,안산-188,안산-191,안산-187,안산-1478,안산-1486,안산-1456,안산-1544,안산-1441,안산-1467,안산-1444,안산-1450,안산-1460,안산-1447,,,,,,,,,,,,,
1,Route1,86.70963104282716,81.71110839975852,398.28889160024147,59.52842213520532,DP,안산-1533,안산-1617,안산-1613,안산-1612,안산-1554,안산-1433,안산-1619,안산-1559,안산-1563,안산-1594,안산-1585,안산-1580,안산-1570,안산-1607,안산-1606,안산-1603,안산-1605,안산-1560,안산-1602,안산-1516,안산-1508,안산-1523,,,,,,
2,Route2,73.30470067154391,152.2389223913499,327.7610776086501,61.30757788414494,DP,안산-1070,안산-1035,안산-1059,안산-1076,안산-1061,안산-1054,안산-1051,안산-1094,안산-1055,안산-1079,안산-1078,안산-1083,안산-1096,안산-1371,안산-163,안산-154,안산-1229,,,,,,,,,,,
3,Route3,79.26438758467135,211.4965956104105,268.5034043895895,63.97784213880362,DP,안산-973,안산-1023,안산-968,안산-983,안산-1026,안산-1317,안산-1322,안산-1063,안산-1107,안산-1030,안산-1073,,,,,,,,,,,,,,,,,
4,Route4,79.75915479800581,229.67519207880022,250.32480792119978,105.05265120348058,DP,안산-665,안산-543,안산-720,안산-554,안산-620,안산-1707,안산-982,안산-995,안산-965,,,,,,,,,,,,,,,,,,,
5,Route5,207.77005174899165,1.8388667402698236,478.16113325973015,127.22245940317073,DP,안산-3,안산-1691,안산-1251,안산-1402,안산-1392,안산-1411,안산-493,안산-495,안산-375,안산-479,,,,,,,,,,,,,,,,,,
6,Route6,194.22949911533766,4.3565603872319905,475.643439612768,79.26161471298848,DP,안산-1414,안산-1280,안산-1278,안산-1282,안산-1416,안산-1417,안산-1418,안산-1412,안산-104,안산-1334,안산-1349,안산-1343,안산-1338,안산-1045,,,,,,,,,,,,,,
7,Route7,134.0616394344061,8.93261712065394,471.06738287934604,119.41334788997082,DP,안산-224,안산-202,안산-229,안산-238,안산-206,안산-240,안산-199,안산-197,안산-144,안산-139,안산-134,안산-143,안산-133,안산-147,안산-138,안산-142,안산-923,안산-525,안산-508,안산-518,안산-703,안산-706,안산-701,안산-928,,,,
8,Route8,142.93334480065874,14.03310830063701,465.966891699363,79.26161471298848,DP,안산-577,안산-1660,안산-1675,안산-1688,안산-1687,안산-1673,안산-1657,안산-1677,안산-1313,안산-1292,안산-1300,안산-1301,안산-1306,안산-1296,안산-1741,안산-1721,안산-1747,안산-1738,안산-1719,안산-1723,,,,,,,,
9,Route9,136.70255333218972,68.47874630702954,411.52125369297045,100.58987421626263,DP,안산-1264,안산-1269,안산-113,안산-114,안산-123,안산-107,안산-127,안산-109,안산-103,안산-112,안산-1016,안산-974,안산-1011,안산-980,,,,,,,,,,,,,,
10,Route10,160.12739499772215,13.857365030680668,466.1426349693193,141.80680532191394,DP,안산-1258,안산-1635,안산-1646,안산-1639,안산-1638,안산-1622,안산-1643,안산-27,안산-62,안산-14,안산-54,안산-57,안산-1650,안산-170,안산-175,안산-176,,,,,,,,,,,,
11,Route11,139.29329887854934,9.91357736957697,470.08642263042304,101.47039985253146,DP,안산-242,안산-234,안산-194,안산-458,안산-490,안산-457,안산-699,안산-939,안산-946,안산-882,안산-878,안산-877,안산-875,안산-896,안산-874,안산-602,안산-610,안산-594,안산-833,안산-563,안산-846,안산-851,,,,,,
12,Route12,210.87227355256593,7.005588910121368,472.9944110898786,41.94913686269858,DP,안산-1423,안산-1186,안산-1656,안산-1756,안산-1715,안산-1728,안산-1131,안산-1120,안산-1579,,,,,,,,,,,,,,,,,,,
13,Route13,108.8191884805661,32.31410656396779,447.6858934360322,62.716478720965284,DP,안산-373,안산-399,안산-388,안산-392,안산-670,안산-523,안산-527,안산-669,안산-650,안산-615,안산-635,안산-617,안산-537,안산-345,안산-330,안산-346,안산-355,안산-785,안산-410,안산-769,안산-423,안산-92,안산-87,안산-445,안산-440,,,
14,Route14,99.46372274913683,27.51689746030177,452.4831025396982,66.25327262258345,DP,안산-710,안산-735,안산-310,안산-376,안산-641,안산-644,안산-616,안산-640,안산-642,안산-539,안산-793,안산-792,안산-775,안산-782,안산-771,안산-779,안산-747,안산-748,안산-757,안산-768,안산-760,안산-758,안산-746,안산-418,안산-427,안산-96,안산-99,
15,Route15,109.34563743555432,9.346752057589715,470.6532479424103,49.63210696361767,DP,안산-825,안산-827,안산-858,안산-835,안산-837,안산-60,안산-22,안산-73,안산-40,안산-948,안산-323,안산-957,안산-328,안산-744,안산-292,안산-306,안산-255,안산-281,안산-299,안산-268,안산-279,안산-284,안산-278,안산-283,안산-422,안산-89,안산-1135,안산-1133
16,Route16,131.02087395736908,1.5641573459877556,478.4358426540122,60.85265440641131,DP,안산-185,안산-180,안산-173,안산-190,안산-68,안산-18,안산-76,안산-960,안산-319,안산-955,안산-745,안산-580,안산-802,안산-807,안산-1247,안산-1227,안산-1211,안산-1202,안산-1246,안산-1222,안산-1226,안산-151,안산-150,,,,,
17,Route17,138.79138356399943,32.07191389028674,447.92808610971326,57.49654949643748,DP,안산-1375,안산-1210,안산-156,안산-1111,안산-1146,안산-1153,안산-1150,안산-1173,안산-1178,안산-1147,안산-1157,안산-1175,안산-1149,안산-1167,안산-1116,안산-1115,안산-1463,안산-1453,안산-1445,안산-1182,,,,,,,,
