,Mapped_Route0,Mapped_Route1,Mapped_Route2,Mapped_Route3,Mapped_Route4,Mapped_Route5,Mapped_Route6,Mapped_Route7,Mapped_Route8,Mapped_Route9,Mapped_Route10,Mapped_Route11,Mapped_Route12,Mapped_Route13,Mapped_Route14,Mapped_Route15,Mapped_Route16,Mapped_Route17,Mapped_Route18,Mapped_Route19,Mapped_Route20,Mapped_Route21,Mapped_Route22,Mapped_Route23,Mapped_Route24,Mapped_Route25,Mapped_Route26,Mapped_Route27,Mapped_Route28,Mapped_Route29,Mapped_Route30,Mapped_Route31,Mapped_Route32,Mapped_Route33,Mapped_Route34,Mapped_Route35,Mapped_Route36,Mapped_Route37,Mapped_Route38,Mapped_Route39,Mapped_Route40,Mapped_Route41,Mapped_Route42,Mapped_Route43,Mapped_Route44,Mapped_Route45,Mapped_Route46
Route,Route0,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12,Route13,Route14,Route15,Route16,Route17,Route18,Route19,Route20,Route21,Route22,Route23,Route24,Route25,Route26,Route27,Route28,Route29,Route30,Route31,Route32,Route33,Route34,Route35,Route36,Route37,Route38,Route39,Route40,Route41,Route42,Route43,Route44,Route45,Route46
total_distance_x,114.67662042525882,140.15539408106338,87.54789358230195,172.01477093170595,175.08640228939103,121.4368806211248,110.09009528181801,99.16458303065899,118.58839738565707,89.08083854391356,91.56097865247104,75.87689516157354,76.19391640174051,130.85367260384479,86.01583818007218,88.76062946810839,72.54298492756381,79.96840621762121,72.17976210748931,57.053534225503334,68.11695152015398,58.128813012946836,72.50323720759233,58.386898595226896,67.72490697488186,56.73080547304733,47.24647617232866,88.43346799432909,86.10321939308848,71.54303943036814,79.14934760376427,173.1339150579966,182.3096188786056,134.0493968261115,158.70496225551958,142.38980803052527,114.87123547593899,125.7048988242911,95.04406078641823,95.43480130168363,85.20415388382582,96.32368505223984,76.94228111530096,93.4012215147787,89.02753861540239,91.42955441879914,99.29391517684584
left_time,0.6480475656532718,42.676350129145376,47.477798734668724,9.923563356777521,1.0931263356652465,45.51459783981159,58.305489209379445,69.87427533157576,85.06034512466711,86.51054750119407,101.7006502742342,108.58953864487268,109.38185759701625,112.21367282399967,122.39094999363832,129.82518384490416,141.7425554631748,151.4560541959107,156.09061454281604,161.3205905761281,163.02751286258487,168.43166560271624,173.86407219946537,177.23138263959072,183.2229841936193,185.59751380708892,187.09862998255215,192.63397243449762,212.39380849389855,229.02445895258919,234.31540410783268,0.9706738819489704,5.591721183802484,128.24174022113925,22.480652836258557,29.440177725729875,116.4999609751293,53.71032335626333,54.274325653931115,35.81729972879762,101.3163864092268,64.57944608759627,87.30019867623606,8.065256402467163,3.2169771312207125,50.240022646390756,28.748629722123113
work_time,479.35195243434674,437.32364987085464,432.52220126533126,470.07643664322245,478.90687366433474,434.4854021601884,421.69451079062054,410.12572466842425,394.9396548753329,393.4894524988059,378.2993497257658,371.4104613551273,370.6181424029837,367.7863271760003,357.6090500063617,350.17481615509587,338.25744453682523,328.5439458040893,323.90938545718393,318.6794094238719,316.9724871374151,311.56833439728376,306.13592780053466,302.7686173604093,296.7770158063807,294.40248619291106,292.90137001744785,287.36602756550235,267.6061915061015,250.97554104741081,245.68459589216732,479.029326118051,474.40827881619754,351.75825977886075,457.51934716374143,450.5598222742701,363.5000390248707,426.2896766437367,425.7256743460689,444.1827002712024,378.68361359077323,415.42055391240376,392.69980132376395,471.9347435975328,476.7830228687793,429.75997735360926,451.2513702778769
to_dp_time,60.24983999688946,34.72055825623936,32.39452884462487,66.29050532332275,100.58987421626263,59.90028616171235,26.016021277609596,59.90028616171235,79.12124737669654,71.64013382737284,54.51098184751443,73.26518958934872,65.19542639065213,107.64537528802207,70.60964712352131,53.45137926516771,95.0230769620827,118.17894445289221,102.279302724609,64.76109857242244,65.31789870832782,57.84194924679728,73.26518958934872,59.73337433459204,56.704336318357214,50.02646036124986,60.24983999688946,115.84619621885568,89.9543892226303,93.94523147567712,93.94523147567712,130.0952411380033,95.96816783787446,146.1623221092948,114.97000614100976,115.85409848606525,149.96044599195875,128.76414756869832,105.33632188226451,103.09381334859236,109.4273673086442,98.90615890852216,101.35842918900681,86.08034684513913,68.80616206698883,94.76402087057892,66.1321050665648
P0,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP
P1,안산-1526,안산-1199,안산-1089,안산-983,안산-985,안산-1067,안산-164,안산-1362,안산-1589,안산-1368,안산-1745,안산-67,안산-772,안산-1275,안산-53,안산-1670,안산-1689,안산-473,안산-35,안산-535,안산-1482,안산-1752,안산-848,안산-348,안산-1529,안산-308,안산-1443,안산-1193,안산-71,안산-1627,안산-183,안산-2,안산-1288,안산-1697,안산-1429,안산-1272,안산-252,안산-205,안산-196,안산-456,안산-698,안산-506,안산-384,안산-397,안산-671,안산-734,안산-1311
P2,안산-1619,안산-1206,안산-1099,안산-83,안산-1004,안산-1039,안산-157,안산-1325,안산-1567,안산-1320,안산-1731,안산-50,안산-794,안산-1283,안산-28,안산-1679,안산-1667,안산-478,안산-19,안산-335,안산-1501,안산-1753,안산-849,안산-350,안산-1528,안산-276,안산-1539,안산-1189,안산-11,안산-57,안산-178,안산-241,안산-1286,안산-1696,안산-1426,안산-1263,안산-251,안산-210,안산-232,안산-486,안산-598,안산-863,안산-381,안산-728,안산-661,안산-621,안산-1299
P3,안산-1555,안산-1215,안산-1162,안산-85,안산-984,안산-1036,안산-153,안산-115,안산-1545,안산-1348,안산-1138,안산-79,안산-752,안산-1281,안산-64,안산-1664,안산-1669,안산-450,안산-7,안산-339,안산-1479,안산-1766,안산-586,안산-1240,안산-1527,안산-260,안산-1498,안산-1190,안산-65,안산-55,안산-1624,안산-239,안산-1635,안산-1691,안산-1274,안산-1270,안산-1395,안산-195,안산-216,안산-469,안산-709,안산-601,안산-379,안산-740,안산-673,안산-622,안산-1666
P4,안산-1434,안산-1242,안산-1176,안산-82,안산-1027,안산-1040,안산-1181,안산-978,안산-1534,안산-1355,안산-1114,안산-36,안산-751,안산-1273,안산-166,안산-1681,안산-1673,안산-499,안산-5,안산-361,안산-1502,안산-1765,안산-574,안산-1247,안산-1614,안산-262,안산-1600,안산-1192,안산-49,안산-62,안산-1631,안산-247,안산-1623,안산-1701,안산-1279,안산-119,안산-1396,안산-226,안산-141,안산-471,안산-587,안산-607,안산-371,안산-721,안산-904,안산-531,안산-1298
P5,안산-1563,안산-1233,안산-1157,안산-1372,안산-1003,안산-1054,안산-1151,안산-1006,안산-1556,안산-1361,안산-1113,안산-63,안산-756,안산-1276,안산-1493,안산-1654,안산-1680,안산-494,안산-37,안산-352,안산-1489,안산-1736,안산-571,안산-1221,안산-1616,안산-275,안산-1509,안산-1187,안산-6,안산-9,안산-1634,안산-227,안산-1628,안산-1256,안산-1423,안산-113,안산-1392,안산-248,안산-136,안산-459,안산-565,안산-888,안산-370,안산-487,안산-815,안산-632,안산-1295
P6,안산-1595,안산-97,안산-1161,안산-1373,안산-998,안산-1060,안산-1164,안산-993,안산-1578,안산-1365,안산-1125,안산-45,안산-761,안산-1277,안산-1492,안산-1717,안산-1668,안산-504,안산-846,안산-342,안산-1470,안산-1077,안산-947,안산-1237,안산-1615,안산-293,안산-1454,안산-1188,안산-1651,안산-8,안산-30,안산-208,안산-1630,안산-1259,안산-1420,안산-114,안산-1378,안산-244,안산-135,안산-453,안산-631,안산-591,안산-393,안산-398,안산-822,안산-443,안산-1296
P7,안산-1580,안산-1123,안산-1174,안산-1375,안산-996,안산-1090,안산-1170,안산-977,안산-167,안산-1340,안산-1120,안산-52,안산-416,안산-105,안산-1477,안산-1757,안산-1685,안산-502,안산-835,안산-356,안산-1484,안산-1106,안산-312,안산-1208,안산-1547,안산-264,안산-305,안산-1655,안산-38,안산-33,안산-21,안산-230,안산-1645,안산-1257,안산-1422,안산-128,안산-1389,안산-221,안산-923,안산-488,안산-742,안산-905,안산-369,안산-932,안산-803,안산-647,안산-1741
P8,안산-1469,안산-1134,안산-1163,안산-1236,안산-965,안산-1085,안산-1159,안산-991,안산-169,안산-1351,안산-1564,안산-17,안산-406,안산-131,안산-1473,안산-1754,안산-1674,안산-931,안산-837,안산-333,안산-1480,안산-1103,안산-311,안산-1203,안산-1621,안산-288,안산-290,안산-1658,안산-39,안산-13,안산-41,안산-228,안산-1649,안산-1255,안산-1427,안산-111,안산-1398,안산-236,안산-918,안산-466,안산-654,안산-589,안산-378,안산-520,안산-823,안산-806,안산-1718
P9,안산-1455,안산-1112,안산-1179,안산-1212,안산-972,안산-1074,안산-1144,안산-967,안산-172,안산-1339,안산-1609,안산-81,안산-429,안산-129,안산-1500,안산-1744,안산-1676,안산-930,안산-855,안산-366,안산-1458,안산-1052,안산-755,안산-1220,안산-1553,안산-298,안산-291,안산-1659,안산-16,안산-54,안산-61,안산-214,안산-1640,안산-1411,안산-1415,안산-124,안산-1391,안산-212,안산-915,안산-470,안산-687,안산-567,안산-377,안산-943,안산-805,안산-818,안산-1750
P10,안산-1466,안산-1132,안산-1172,안산-1209,안산-990,안산-1034,안산-1183,안산-1024,안산-193,안산-1359,안산-1575,안산-26,안산-407,,안산-1495,안산-1762,안산-1313,안산-933,안산-856,안산-353,안산-1448,안산-1101,안산-749,안산-1217,안산-1554,안산-254,안산-307,,안산-47,,,안산-246,안산-1641,,안산-1421,안산-120,안산-1385,안산-217,안산-914,안산-451,안산-643,안산-578,안산-394,안산-476,안산-816,안산-889,안산-1743
P11,안산-1464,안산-1137,안산-1165,DP,DP,안산-1038,DP,안산-975,안산-184,안산-1352,안산-1601,안산-34,안산-424,,안산-1486,안산-1749,안산-1302,안산-944,안산-854,안산-331,안산-1468,안산-1066,안산-313,안산-1198,안산-1552,안산-1129,안산-301,,안산-66,,,안산-231,안산-1642,,안산-1413,안산-132,안산-1393,안산-207,안산-522,안산-489,안산-730,안산-569,안산-374,안산-387,안산-885,안산-913,안산-1734
P12,안산-1446,안산-1130,DP,안산-1400,안산-1377,DP,안산-1008,안산-970,안산-177,안산-1327,안산-1574,안산-73,안산-426,,안산-1503,안산-1726,안산-1293,안산-929,안산-843,안산-364,안산-1452,안산-1048,안산-745,안산-156,안산-1561,안산-1135,안산-255,,,,,안산-1708,안산-1647,,안산-1425,안산-121,안산-1386,안산-149,안산-521,안산-492,안산-719,안산-585,안산-400,안산-420,안산-536,안산-908,안산-1720
P13,안산-1462,안산-1156,안산-1213,안산-1403,,안산-102,안산-1010,안산-1366,안산-188,안산-1319,안산-1573,안산-318,안산-405,,안산-1471,안산-1748,안산-1316,안산-898,안산-841,안산-357,안산-1540,안산-1092,안산-743,안산-152,안산-1546,안산-1108,안산-294,,,,,안산-1703,안산-1648,,안산-1416,안산-116,안산-1405,안산-463,안산-516,안산-865,안산-715,안산-801,안산-390,안산-624,안산-547,안산-891,안산-1722
P14,안산-1447,안산-1184,안산-1205,안산-1406,,안산-130,안산-736,안산-1358,안산-192,안산-1357,안산-1598,안산-956,안산-408,,안산-1494,안산-1715,안산-1305,안산-936,안산-830,안산-438,안산-1544,안산-1042,안산-326,안산-159,안산-1557,안산-1583,안산-270,,,,,안산-1714,안산-1637,,안산-1424,안산-125,안산-1404,안산-491,안산-510,안산-820,안산-729,안산-813,안산-404,안산-645,안산-551,안산-890,안산-1746
P15,안산-1439,DP,안산-1234,,,안산-1015,안산-722,안산-1330,안산-186,안산-1364,안산-1506,안산-315,안산-96,,안산-1496,안산-1764,안산-1291,안산-842,안산-832,안산-440,안산-1476,안산-1056,안산-763,안산-160,안산-1549,안산-1603,안산-300,,,,,안산-1711,안산-1629,,안산-104,안산-126,안산-1383,안산-474,안산-528,안산-945,안산-725,안산-552,안산-388,안산-651,안산-538,안산-901,안산-1721
P16,안산-1438,안산-1384,안산-1196,,,안산-1014,안산-365,안산-1360,안산-181,안산-1043,안산-1548,안산-961,안산-95,,안산-1497,안산-1763,안산-1310,안산-937,안산-844,안산-436,안산-1531,안산-1098,안산-759,안산-161,,안산-1518,안산-296,,,,,안산-1705,,,,안산-118,,안산-482,안산-524,안산-705,안산-724,안산-555,안산-383,안산-648,안산-550,안산-912,안산-1342
P17,안산-1461,,안산-1244,,,안산-1017,안산-309,안산-1318,안산-179,안산-1064,안산-1591,안산-950,안산-100,,안산-1505,안산-1724,안산-1294,안산-809,안산-857,안산-437,안산-1541,안산-1100,,안산-165,,안산-1521,안산-269,,,,,안산-754,,,,안산-110,,안산-484,안산-507,안산-708,안산-727,안산-556,안산-386,안산-633,안산-799,안산-911,안산-1353
P18,안산-271,,안산-1228,,,,안산-1021,안산-1350,,안산-1088,안산-1582,안산-325,안산-98,,안산-1472,,안산-1312,,안산-860,안산-449,안산-1542,안산-1078,,,,,안산-303,,,,,,,,,,,안산-468,안산-518,안산-690,안산-732,안산-575,안산-372,안산-618,안산-793,안산-903,안산-1354
P19,안산-263,,안산-1224,,,,안산-988,안산-1341,,안산-1041,안산-1577,안산-322,안산-86,,안산-1490,,안산-1306,,안산-827,안산-448,안산-1535,안산-1079,,,,,안산-259,,,,,,,,,,,안산-485,안산-693,안산-696,안산-718,안산-570,안산-396,안산-630,안산-783,안산-900,안산-1057
P20,안산-257,,안산-1204,,,,,안산-1329,,안산-1069,안산-1566,안산-953,안산-434,,,,안산-1308,,,안산-1207,안산-1465,,,,,,,,,,,,,,,,,안산-464,안산-511,안산-689,안산-717,안산-579,안산-660,안산-614,안산-791,안산-812,안산-1049
P21,DP,,안산-1225,,,,,안산-1337,,안산-1031,안산-1565,안산-329,안산-762,,,,안산-1309,,,안산-1245,,,,,,,,,,,,,,,,,,,안산-684,안산-675,안산-712,안산-606,안산-659,안산-627,안산-797,안산-807,안산-1091
P22,안산-1512,,,,,,,안산-1062,,,,안산-764,안산-287,,,,,,,,,,,,,,,,,,,,,,,,,,안산-862,안산-928,,안산-593,안산-664,안산-653,안산-788,안산-819,안산-1068
P23,안산-1590,,,,,,,안산-1105,,,,안산-320,안산-282,,,,,,,,,,,,,,,,,,,,,,,,,,안산-881,안산-674,,안산-600,안산-509,안산-650,안산-780,안산-810,안산-1080
P24,안산-1158,,,,,,,안산-1082,,,,안산-741,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-873,안산-872,,안산-828,안산-753,안산-626,안산-777,안산-568,안산-1081
P25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-861,안산-897,,,안산-864,안산-613,안산-430,안산-562,안산-1032
P26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-866,안산-907,,,안산-498,안산-637,안산-411,안산-572,안산-1102
P27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-899,,,,안산-656,안산-423,안산-560,안산-1104
P28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-623,안산-435,,안산-1050
P29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-646,안산-439,,
P30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-533,안산-441,,
P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안산-530,안산-91,,
